name,type,latitude,longitude
Hernando County Fire Department Station 11,fire_station,28.525,-82.4913889
Hernando County Fire Station 21,fire_station,28.5430556,-82.3005556
Lake County Fire Rescue Station 27,fire_station,28.8475,-81.6333333
Brooksville Fire Department,fire_station,28.5544444,-82.4008333
Eustis Fire Department,fire_station,28.8453201,-81.6867794
South Levy Volunteer Fire Station - District 1,fire_station,29.0452778,-82.5758333
De Rosa Volunteer Fire Station 41,fire_station,29.0097222,-82.5691667
Tavares Fire Station Number 1,fire_station,28.8038889,-81.7236111
Tavares Fire Station Number 2,fire_station,28.7722222,-81.7455556
Dania Beach Fire / Rescue Station 32,fire_station,26.0565047,-80.1847447
Lauderdale by the Sea Fire Department Station 36,fire_station,26.2065049,-80.0945135
Saga Bay Fire Department Station 55,fire_station,25.5663755,-80.3309362
Port Everglades Fire Department Station 6,fire_station,26.082681,-80.1166902
Carver Ranches Fire Department Station 17,fire_station,25.9869909,-80.1834565
Newberry Fire Station # 1,fire_station,29.6494444,-82.6069444
Jupiter Fire Department Station 14,fire_station,26.9234543,-80.192297
South Miami Heights Fire Department Station 52,fire_station,25.586206,-80.3875335
West Sunset Fire Department Station 56,fire_station,25.6982041,-80.4561348
Island Grove Volunteer Fire Department,fire_station,29.4536111,-82.1080556
Archer Volunteer Fire Department,fire_station,29.5336111,-82.525
Weston Fire / Rescue Station 81,fire_station,26.0929432,-80.3816368
Lake Forest Fire Department Station 48,fire_station,25.9755114,-80.1838566
Perrine Fire Department Station 50,fire_station,25.6032926,-80.3495157
Palm Beach Shores Volunteer Fire Department,fire_station,26.7786124,-80.0369241
Fort Lauderdale Fire / Rescue Station 3,fire_station,26.0884828,-80.1469642
Weston North Fire Department Station 67,fire_station,26.1154864,-80.4068669
Dania Beach Fire / Rescue Station 1,fire_station,26.05252,-80.1452925
Davie Fire / Rescue Station 65,fire_station,26.1050172,-80.2813453
Margate Fire / Rescue Station 98,fire_station,26.2575574,-80.1972381
Model Cities Fire Department Station 2,fire_station,25.8333379,-80.2416796
Palm Beach Fire Department South,fire_station,26.6393768,-80.0386762
Lake Worth Beach Fire Department Station 91,fire_station,26.6169505,-80.058684
Tequesta Fire Department,fire_station,26.9590413,-80.0937172
Boca Raton Fire / Rescue Station 2,fire_station,26.3508566,-80.1052453
Boca Raton Fire / Rescue Station 3,fire_station,26.3495714,-80.0700612
Delray Beach Fire / Rescue Station 2,fire_station,26.4623971,-80.0595753
Boynton Beach Fire / Rescue Station 2,fire_station,26.5135428,-80.0926613
Fort Lauderdale Fire / Rescue Station 46,fire_station,26.1390826,-80.1544185
Fort Lauderdale Fire / Rescue Station 47,fire_station,26.1094765,-80.1775806
Fort Lauderdale Fire / Rescue Station 16,fire_station,26.1562966,-80.1393302
Palm Beach Gardens Fire / Rescue Station 61,fire_station,26.8313976,-80.104398
Miami Fire / Rescue Station 4,fire_station,25.763063,-80.1969782
Pembroke Park Fire Department,fire_station,25.9829892,-80.1950887
Palm Beach Gardens Fire Department Station 65,fire_station,26.8646946,-80.0946276
Miami Fire / Rescue Department Support Service Division,fire_station,25.780652,-80.2142474
Pompano Beach Fire Department,fire_station,26.3139578,-80.1043814
Coconut Creek Fire Department,fire_station,26.2588062,-80.1876623
Lauderhill Fire Department,fire_station,26.140253,-80.2048093
Pahokee Fire Department Station 72,fire_station,26.823887,-80.6658103
Coral Springs Fire Department Station 80,fire_station,26.2652787,-80.2653148
Lauderhill Fire Rescue Station 57,fire_station,26.1507829,-80.2243793
Palm Beach Fire Prevention,fire_station,26.7252659,-80.0382345
Oakland Park Fire Prevention,fire_station,26.1728108,-80.1309318
Miami Fire / Rescue Station 6,fire_station,25.8103083,-80.2078653
Miami Fire / Rescue Station 7,fire_station,25.7688408,-80.235005
Miami Fire / Rescue Station 8,fire_station,25.7301748,-80.2412232
Miami Fire / Rescue Station 9,fire_station,25.8330092,-80.1946316
Palm Beach Fire Department Main,fire_station,26.7253225,-80.0382211
South Bay Fire Department Station 74,fire_station,26.6613646,-80.7133432
Belle Glade Fire Department Station 73,fire_station,26.681306,-80.6701141
Fort Lauderdale Fire / Rescue Stations 2 and 8,fire_station,26.1236819,-80.1493137
Coral Gables Fire Department Station 3,fire_station,25.6632934,-80.2823615
Deerfield Beach Fire Station 4,fire_station,26.3177296,-80.0913457
Davie Fire / Rescue Station 68,fire_station,26.0756844,-80.3132771
Dania Beach Fire / Rescue,fire_station,26.052975,-80.1451109
Royal Palm Beach Fire Department Station 28,fire_station,26.704044,-80.2289124
South Palm Beach Fire Department (closed),fire_station,26.5926276,-80.0396601
Logger's Run Fire Department Station 58,fire_station,26.3637816,-80.2390195
Boca Del Mar Fire Department Station 55,fire_station,26.3559288,-80.1499721
Trauma Hawk Fire Department,fire_station,26.6785178,-80.1078623
Palm Beach International Airport Fire Department Station 81,fire_station,26.6848291,-80.0921787
West Boca Fire Department Station 51,fire_station,26.3387909,-80.203867
Pheasant Walk Fire Department Station 52,fire_station,26.4156462,-80.1163675
Hypotec,fire_station,26.3953434,-80.2052071
Century Village Fire Department Station 53,fire_station,26.3812292,-80.1860989
Miami Lakes Fire Department Station 1,fire_station,25.9241938,-80.3097853
Palm Beach County Fire Rescue Station 43,fire_station,26.5918779,-80.114244
West Kendall Fire Department Station 57,fire_station,25.6888106,-80.4010428
Bunche Park Fire Department Station 54,fire_station,25.913319,-80.2446517
Lantana Fire Department Station 37,fire_station,26.5764248,-80.055459
Richmond Fire Department Station 43,fire_station,25.6259156,-80.4099823
Palm Springs North Fire Department Station 44,fire_station,25.9418822,-80.3265637
Doral Fire Department Station 45,fire_station,25.8256847,-80.3543937
West Bird Fire Department Station 37,fire_station,25.7280366,-80.4240749
Norland Fire Department Station 38,fire_station,25.9565681,-80.2113655
Seaport / Port of Miami Fire Department Station 39,fire_station,25.7748819,-80.169651
Kings Point Fire Department 45,fire_station,26.4470162,-80.1462567
Boynton Beach Fire Department Station 46,fire_station,26.5207674,-80.1469535
West Boynton Fire Department Station 47,fire_station,26.5267322,-80.1692538
Medley Fire Department Station 46,fire_station,25.8701762,-80.3644085
Westchester Fire Department Station 47,fire_station,25.7477109,-80.3469564
Pinecrest Fire Department Station 49,fire_station,25.6690508,-80.2849152
Palm Beach County Fire Rescue Station 23 (Century Village),fire_station,26.7084253,-80.1269971
West Palm Beach Fire / Rescue Station 17,fire_station,26.7981255,-80.1368357
Palm Beach County Fire Rescue Station 29,fire_station,26.6920486,-80.2033183
Palm Beach County Fire Rescue Station 27,fire_station,26.6303859,-80.2615641
Pam Beach County Fire Rescue Station 26,fire_station,26.7670213,-80.2560367
Wellington Fire Department Station 25,fire_station,26.665787,-80.2356591
Hammocks Fire Department Station 36,fire_station,25.6730912,-80.4436296
Miami Springs Fire Department Station 35,fire_station,25.8213793,-80.2846311
Palm Beach County Fire Rescue Station 41,fire_station,26.5125946,-80.1248418
Cresthaven Fire Department Station 36,fire_station,26.6372331,-80.1141519
Benoist Farms Fire Department Station 34,fire_station,26.6756252,-80.1747445
Cotton Bay Fire Department Station 33,fire_station,26.6650615,-80.1040647
Palm Beach County Fire Rescue Station 32,fire_station,26.6169225,-80.1565413
Boynton Beach Fire / Rescue Station 4,fire_station,26.5116015,-80.0599077
Jupiter Fire Department Station 11,fire_station,26.9624466,-80.0955981
Riviera Beach Fire / Rescue Station 3,fire_station,26.7987966,-80.0339147
Riviera Beach Fire / Rescue Station 4,fire_station,26.7868739,-80.1075767
Delray Beach Fire / Rescue Station 6,fire_station,26.4106154,-80.0651608
Wellington Fire Department Station 20,fire_station,26.6680782,-80.2828927
Palm Beach County Fire Rescue Station 22,fire_station,26.7555215,-80.306391
Richard Road Fire Department,fire_station,26.8139108,-80.0813381
Jupiter Fire Department Station 16,fire_station,26.9002014,-80.1034808
Jupiter Fire Department Station 18,fire_station,26.9398972,-80.0832692
Palm Beach County Fire Rescue Station 42,fire_station,26.4647796,-80.1619154
Juno Beach Fire / Rescue Station 15,fire_station,26.8658894,-80.0545964
Miami Beach Fire / Rescue Station 3,fire_station,25.8313812,-80.1213149
Miami Beach Fire / Rescue Station 1,fire_station,25.7813468,-80.1370289
Palm Beach Gardens Fire / Rescue Station 62,fire_station,26.8391836,-80.0830962
Palm Beach Gardens Fire / Rescue Station 63,fire_station,26.8097644,-80.1159455
Southwest Ranches Volunteer Fire / Rescue,fire_station,26.0618461,-80.3791285
Central Broward Fire Department Station 14,fire_station,26.1322626,-80.1866911
Lauderdale by the Sea Fire Department Station 12,fire_station,26.1918856,-80.0972641
Pembroke Pines Fire / Rescue Station 79,fire_station,26.0070422,-80.4134981
Miramar Fire / Rescue Station 19,fire_station,25.9816091,-80.2208969
Miami-Dade Fire Rescue Station 24 (Kendall - Tamiami Airport),fire_station,25.649421,-80.4209033
Opa - Locka Airport Fire Department Station 25,fire_station,25.9064888,-80.2697659
Opa - Locka Fire Department Station 26,fire_station,25.8821371,-80.250931
Hialeah Gardens Fire Department Station 28,fire_station,25.8679447,-80.3385769
Sweetwater Fire Department Station 29,fire_station,25.7652022,-80.368415
Miami Shores / El Portal Fire Station 30,fire_station,25.8627984,-80.1936725
North Miami Beach Fire Department Station 31,fire_station,25.9328364,-80.1627323
Uleta Fire Department Station 32,fire_station,25.9289084,-80.1928551
Aventura South Fire Department Station 33,fire_station,25.9401452,-80.1484031
Hollywood Fire / Rescue Station 40,fire_station,26.0253786,-80.1160843
Miami Fire / Rescue Station 11,fire_station,25.7704397,-80.2921425
Miami Fire / Rescue Station 12,fire_station,25.8174323,-80.2206114
Aventura Fire Department Station 8,fire_station,25.9605431,-80.143271
West Little River Fire Department Station 7,fire_station,25.8599313,-80.2344977
Moedello Fire Department Station 6,fire_station,25.4988739,-80.448894
Miami-Dade Fire Rescue Station 12 (MIA Midfield),fire_station,25.7973796,-80.292179
Virginia Gardens Fire Department Station 17,fire_station,25.809006,-80.3118463
Homestead / Florida City Fire Department Station 16,fire_station,25.471891,-80.4827711
Key Biscayne Fire Department Station 15,fire_station,25.7028841,-80.1607911
South Miami Fire Department Station 14,fire_station,25.7058826,-80.2884721
Haulover Fire Department Station 21,fire_station,25.9020062,-80.1251569
North Miami East Fire Department Station 20,fire_station,25.8956735,-80.1669631
North Miami West Fire Department Station 19,fire_station,25.894421,-80.2102415
Redland Fire Department Station 60,fire_station,25.5360927,-80.4767889
Northside Fire Department Station 59,fire_station,25.8065335,-80.2885986
Hialeah Fire Department Station 3,fire_station,25.8661962,-80.2991462
Hialeah Fire Department Station 4,fire_station,25.8325594,-80.2765969
Hialeah Fire Department Station 2,fire_station,25.8288848,-80.2792516
Hialeah Fire Department Station 7,fire_station,25.8909714,-80.3325305
Hialeah Fire Department Station 5,fire_station,25.8900386,-80.3073221
Hialeah Fire Department Station 6,fire_station,25.8439394,-80.2977143
Tropical Park Fire Department Station 3,fire_station,25.733978,-80.3271918
Coral Reef Fire Department Station 4,fire_station,25.629233,-80.3422033
Miami Fire / Rescue Station 2,fire_station,25.7941252,-80.1944929
Layton Fire Department Station 18,fire_station,24.82524,-80.81457
Davenport Fire Department,fire_station,28.1575217,-81.6029333
Oxford Volunteer Fire Department Station 32,fire_station,28.9271893,-82.0340317
Lake Alfred Fire Department,fire_station,28.0929864,-81.728503
North Naples Fire Control District Station 44,fire_station,26.2501972,-81.8058827
Punta Gorda Fire Department,fire_station,26.9253094,-82.0467694
Safety Harbor Fire Department Station 52,fire_station,27.9905451,-82.6945064
Grenelefe Volunteer Fire Department,fire_station,28.0779386,-81.5458555
Fire Department,fire_station,28.0450196,-81.9494875
South Central Fire / Rescue,fire_station,28.2082319,-82.2483042
Polk City Fire Department,fire_station,28.1840693,-81.8225721
Lake Placid Fire Department,fire_station,27.2970315,-81.3669974
Clermont Fire Department,fire_station,28.5003212,-81.7151003
Alturas Volunteer Fire Department,fire_station,27.8718602,-81.7148979
Medulla Volunteer Fire Department Station 2,fire_station,27.9528171,-82.035702
Longboat Key Fire / Rescue,fire_station,27.4126047,-82.6580224
Trailer Estates Fire Department,fire_station,27.4194178,-82.5834454
Seminole Fire Department,fire_station,27.8358075,-82.794193
Bushnell Fire Department Station 11,fire_station,28.663598,-82.1119435
Sebring Fire Department,fire_station,27.4968072,-81.4398275
Fort Myers Shores Fire Department Station 81,fire_station,26.7030294,-81.7523815
Longboat Key Fire Department South,fire_station,27.3605496,-82.6181348
West Palm Beach Fire / Rescue Station 5,fire_station,26.7189962,-80.0809247
West Palm Beach Fire / Rescue Station 6,fire_station,26.7491822,-80.1004437
West Palm Beach Fire / Rescue Station 3,fire_station,26.7561754,-80.0554215
West Palm Beach Fire / Rescue Station 4,fire_station,26.698362,-80.0618453
Hollywood Fire / Rescue Station 105,fire_station,25.9980694,-80.1423661
Coral Springs Fire Department Station 71,fire_station,26.281875,-80.2836276
Coral Springs Fire Department Station 64,fire_station,26.2376702,-80.2377016
Margate Fire / Rescue Station 94,fire_station,26.311477,-80.1857664
Surnirse Fire Station 92,fire_station,26.1508802,-80.332167
Sunrise Fire / Rescue Station 83,fire_station,26.122075,-80.3603881
Sunrise Fire / Rescue Station 59,fire_station,26.1588781,-80.2592185
Sunrise Fire / Rescue Station 39,fire_station,26.1543493,-80.2400271
Davie Fire / Rescue Station 104,fire_station,26.077752,-80.2058259
Bartow Fire Department,fire_station,27.8981879,-81.8430053
Providence Fire Department Station 1,fire_station,28.1623757,-81.9745187
Golden Gate Fire Department Station 70,fire_station,26.1827506,-81.704186
Matlacha - Pine Island Fire Department Station 1,fire_station,26.6138344,-82.1198405
Mascotte City Fire Department,fire_station,28.572866,-81.8806247
Pinellas Suncoast Fire / Rescue,fire_station,27.8807642,-82.8500581
Myakka City Fire Department,fire_station,27.3550426,-82.1620699
Lehigh Acres Fire Department Station 1,fire_station,26.6368293,-81.5977997
Saint Pete Beach Fire Department Station 22,fire_station,27.6963505,-82.736088
Clewiston Fire Department,fire_station,26.7522414,-80.9351748
West Manatee Fire District Station 1,fire_station,27.4967834,-82.6282072
Marathon Fire Department,fire_station,24.7246625,-81.0520274
Mulberry Fire Department,fire_station,27.8962263,-81.9811327
Babson Park Volunteer Fire Department,fire_station,27.8305109,-81.5268931
Palm Harbor Fire Department,fire_station,28.0963326,-82.7721196
Temple Terrace Fire Department Station 1,fire_station,28.0330122,-82.392221
Treasure Island Fire Department,fire_station,27.771006,-82.7679125
Jan Phyl Village Fire Department,fire_station,28.0144832,-81.7633028
Haines City Fire Department,fire_station,28.1095632,-81.6223643
Rifle Range Fire Department,fire_station,27.9619267,-81.727004
East Lake Fire / Rescue Station 57,fire_station,28.1000461,-82.7020876
Tice Fire Department Station 201,fire_station,26.6720651,-81.8025195
Caloosa Lake Volunteer Fire Department,fire_station,27.8267396,-81.5923081
Avon Park Fire Department,fire_station,27.5945976,-81.4982323
Monroe County Fire Marshall,fire_station,24.71537,-81.06879
Gulfport Fire Department,fire_station,27.747056,-82.7056923
Oldsmar Fire Department,fire_station,28.0440461,-82.6705754
Hardee County Fire / Rescue,fire_station,27.556603,-81.8101293
Clermont Fire Department Station 1,fire_station,28.5508978,-81.7623241
Fire Marshall,fire_station,28.3660465,-82.18612
Alva Fire Department Station 121,fire_station,26.7061782,-81.607547
Groveland Fire Department,fire_station,28.5605377,-81.8577959
Belleair Bluffs Fire Department,fire_station,27.9230778,-82.8138364
Felda Volunteer Fire Department,fire_station,26.5369275,-81.4040359
Bradley Volunteer Fire Department,fire_station,27.7935953,-81.9779474
Frostproof Fire Department,fire_station,27.7466764,-81.527946
Big Corkscrew Fire Department Station 11,fire_station,26.3659446,-81.5869833
Sarasota County Fire Department Station 11,fire_station,27.2621156,-82.520338
Falkenburg Fire Department,fire_station,27.9414613,-82.3360349
Wimauma Fire Department,fire_station,27.7065854,-82.3049097
West Hillsborough Fire Department,fire_station,27.9962197,-82.5601839
Thonotosassa Fire Department Station 21,fire_station,28.0566855,-82.2969404
Springhead Fire Department Station 25,fire_station,27.9829181,-82.0798827
East Lake Fire Department,fire_station,27.9880726,-82.3921968
HCFR - Station 14,fire_station,28.0658222,-82.4449221
Hillsborough County Fire Department Station 15,fire_station,27.941941,-82.3901352
North Fort Myers Fire Department Station 2,fire_station,26.6712895,-81.9098117
North Port Fire / Rescue Station 84,fire_station,27.0664683,-82.1621241
San Carlos Park Fire Department Station 51,fire_station,26.4682108,-81.8232615
North Fort Myers Fire Department Station 1,fire_station,26.7349777,-81.9095197
North Port Fire / Rescue Station 1,fire_station,27.073853,-82.207959
Venice Fire Department Station 52,fire_station,27.1005719,-82.4358621
North Port Fire / Rescue Station 83,fire_station,27.0683026,-82.1182539
North Port Fire / Rescue Station 2,fire_station,27.0458381,-82.234766
Venice Fire Department Station 51,fire_station,27.0989266,-82.4504618
Sarasota County Fire Department Station 18,fire_station,27.2481305,-82.3415762
Sarasota County Fire Department Station 14,fire_station,27.2217218,-82.490988
Sarasota County Fire Department Station 19,fire_station,27.3135212,-82.2686154
Charlotte County Fire/EMS Station 7,fire_station,26.9221614,-82.0007647
Charlotte County Fire Station 4,fire_station,26.9172076,-82.2233637
Charlotte County Fire Station 5,fire_station,26.860648,-82.0146622
Charlotte County Fire Department Station 2,fire_station,27.0045998,-82.1567948
Charlotte County Fire Department Station 1,fire_station,26.9762128,-82.0920944
Englewood Area Fire Control District Station 72,fire_station,26.8981664,-82.3108043
South Trail Fire / Rescue Station 64,fire_station,26.5550105,-81.7577318
Englewood Area Fire Control Station 74,fire_station,26.9090617,-82.290085
South Trail Fire / Rescue Station 61,fire_station,26.5641648,-81.8705562
South Trail Fire / Rescue Station 62,fire_station,26.5464488,-81.8171596
Sanibel Fire / Rescue District Station 172,fire_station,26.4654178,-82.1522343
Fort Myers Fire Dept. Station 13,fire_station,26.6072799,-81.8734106
Fort Myers Fire Department Station 12,fire_station,26.65759,-81.8442361
Fort Myers Fire Department Station 11,fire_station,26.6392233,-81.866354
Cape Coral Fire Station #7,fire_station,26.7330983,-82.0395717
Cape Coral Fire Department Station 5,fire_station,26.683187,-81.9513588
Cape Coral Fire Department Station 2,fire_station,26.6299479,-81.9631639
Cape Coral Fire Department Station 1,fire_station,26.5619991,-81.9562524
Boca Grande Fire Department,fire_station,26.7498852,-82.2609066
